Model Type,Batch Size,Confidence,mAP@0.5,Inference Time (ms)
yolov5nu,8,0.7,0.456,2.377
yolov5nu,8,0.8,0.438,2.167
yolov5nu,8,0.9,0.345,2.874
yolov5nu,12,0.7,0.599,2.037
yolov5nu,12,0.8,0.448,2.422
yolov5nu,12,0.9,0.413,2.145
yolov5su,8,0.7,0.450,4.196
yolov5su,8,0.8,0.443,4.273
yolov5su,8,0.9,0.175,4.070
yolov5su,12,0.7,0.442,3.935
yolov5su,12,0.8,0.435,3.960
yolov5su,12,0.9,0.370,4.492
yolov5mu,8,0.7,0.590,9.139
yolov5mu,8,0.8,0.581,9.096
yolov5mu,8,0.9,0.181,9.100
yolov5mu,12,0.7,0.583,9.130
yolov5mu,12,0.8,0.448,9.194
yolov5mu,12,0.9,0.175,9.097
yolov5lu,8,0.7,0.661,14.992
yolov5lu,8,0.8,0.466,14.831
yolov5lu,8,0.9,0.188,14.992
yolov8n-seg,8,0.7,0.445,2.765
yolov8n-seg,8,0.8,0.420,2.738
yolov8n-seg,8,0,0.000,0.000
yolov8n-seg,12,0.7,0.584,2.861
yolov8n-seg,12,0.8,0.541,3.214
yolov8n-seg,12,0.9,0.356,3.252
yolov8s-seg,8,0.7,0.633,6.000
yolov8s-seg,8,0.8,0.453,5.763
yolov8s-seg,8,0.9,0.216,5.783
yolov8s-seg,12,0.7,0.451,5.819
yolov8s-seg,12,0.8,0.220,5.807
yolov8s-seg,12,0.9,0.181,5.778
yolov8m-seg,8,0.7,0.444,13.612
yolov8m-seg,8,0.8,0.425,13.673
yolov8m-seg,8,0.9,0.339,13.606
yolov8m-seg,12,0.7,0.468,13.650
yolov8m-seg,12,0.8,0.444,13.708
yolov8m-seg,12,0.9,0.175,13.669
yolov8l-seg,8,0.7,0.437,21.288
yolov8l-seg,8,0.8,0.356,21.108
yolov8l-seg,8,0,0.000,0.000
yolov8x-seg,8,0.7,0.483,34.753
yolov8x-seg,8,0.8,0.401,34.932
yolov8x-seg,8,0,0.000,0.000
yolo11n-seg,8,0.7,0.665,3.468
yolo11n-seg,8,0.8,0.370,3.276
yolo11n-seg,8,0.9,0.175,3.390
yolo11n-seg,12,0.7,0.486,3.473
yolo11n-seg,12,0.8,0.374,3.347
yolo11n-seg,12,0.9,0.345,2.931
yolo11s-seg,8,0.7,0.594,5.720
yolo11s-seg,8,0.8,0.264,5.718
yolo11s-seg,8,0,0.000,0.000
yolo11s-seg,12,0.7,0.469,5.634
yolo11s-seg,12,0.8,0.211,5.719
yolo11s-seg,12,0,0.000,0.000
yolo11m-seg,8,0.7,0.558,14.233
yolo11m-seg,8,0.8,0.436,14.316
yolo11m-seg,8,0.9,0.174,14.298
yolo11m-seg,12,0.7,0.434,14.292
yolo11m-seg,12,0.8,0.377,14.410
yolo11m-seg,12,0,0.000,0.000
yolo11l-seg,8,0.7,0.483,17.341
yolo11l-seg,8,0.8,0.452,17.393
yolo11l-seg,8,0,0.000,0.000
