epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.665,1.45456,2.92222,1.33546,0.81487,0.76014,0.76317,0.54492,1.26901,1.18887,0.88187,0.0701007,0.00332215,0.00332215
2,244.403,1.35846,1.77632,1.21656,0.63716,0.71283,0.72172,0.49261,1.67988,1.51822,1.07858,0.0400677,0.00662254,0.00662254
3,315.761,1.49574,1.90405,1.27669,0.68067,0.43827,0.53242,0.32968,1.62052,2.96739,1.09199,0.0100018,0.00988993,0.00988993
4,386.965,1.59225,1.87697,1.347,0.71483,0.67108,0.65984,0.29722,1.70739,1.77112,1.27033,0.0098515,0.0098515,0.0098515
5,458.196,1.57979,1.88809,1.3387,0.51345,0.67108,0.62698,0.42117,1.86164,2.01956,1.20783,0.009802,0.009802,0.009802
6,529.404,1.53291,1.80113,1.32348,0.55822,0.7736,0.65851,0.45844,1.56953,2.06169,1.0828,0.0097525,0.0097525,0.0097525
7,600.614,1.50682,1.69181,1.31441,0.66371,0.64374,0.67047,0.46019,1.46296,1.91008,1.15668,0.009703,0.009703,0.009703
8,671.827,1.43921,1.63344,1.28301,0.86063,0.73747,0.83099,0.5718,1.59974,1.31146,1.13122,0.0096535,0.0096535,0.0096535
9,743.301,1.42615,1.52821,1.27727,0.70285,0.79682,0.78359,0.4684,1.45848,1.36636,1.07484,0.009604,0.009604,0.009604
10,814.542,1.3711,1.49439,1.2511,0.77145,0.82065,0.89124,0.60252,1.45104,1.32542,1.01362,0.0095545,0.0095545,0.0095545
11,885.932,1.36131,1.51456,1.25318,0.73077,0.70523,0.72523,0.45801,1.56426,1.70459,1.08447,0.009505,0.009505,0.009505
12,957.121,1.30964,1.44514,1.23547,0.69675,0.75573,0.82029,0.5732,1.36382,1.26333,0.98696,0.0094555,0.0094555,0.0094555
13,1028.32,1.33036,1.43724,1.24337,0.86314,0.64888,0.81182,0.52452,1.41425,1.18557,1.04799,0.009406,0.009406,0.009406
14,1099.52,1.30275,1.39007,1.2346,0.87786,0.6691,0.84243,0.5795,1.45341,1.20043,1.02132,0.0093565,0.0093565,0.0093565
15,1170.71,1.24858,1.34172,1.20877,0.86603,0.7008,0.83017,0.55248,1.56975,1.7093,1.07794,0.009307,0.009307,0.009307
16,1241.91,1.26113,1.31962,1.20867,0.77734,0.7937,0.83682,0.60177,1.2571,1.2221,0.9803,0.0092575,0.0092575,0.0092575
17,1313.06,1.26753,1.32094,1.20926,0.71038,0.77857,0.83216,0.60386,1.41478,1.13091,1.03745,0.009208,0.009208,0.009208
18,1384.7,1.21995,1.2948,1.20318,0.62603,0.78042,0.82023,0.57326,1.27485,1.21107,0.98334,0.0091585,0.0091585,0.0091585
19,1456.08,1.21346,1.31584,1.20503,0.85336,0.66704,0.83286,0.63526,1.18561,1.247,0.99842,0.009109,0.009109,0.009109
20,1527.5,1.19576,1.2731,1.18024,0.86282,0.65263,0.82154,0.59823,1.13604,1.13341,0.93407,0.0090595,0.0090595,0.0090595
21,1598.72,1.18546,1.28318,1.17554,0.88054,0.68644,0.8402,0.63778,1.16142,1.16398,0.98427,0.00901,0.00901,0.00901
22,1670.15,1.18453,1.26893,1.1682,0.83464,0.81763,0.85538,0.63763,1.35728,1.08034,1.00087,0.0089605,0.0089605,0.0089605
23,1741.56,1.19026,1.23765,1.17704,0.79137,0.77973,0.8665,0.65639,1.17679,1.06857,1.00397,0.008911,0.008911,0.008911
24,1812.92,1.19347,1.26155,1.17807,0.73253,0.81842,0.88611,0.63119,1.15491,1.08735,0.91459,0.0088615,0.0088615,0.0088615
25,1884.08,1.14012,1.18591,1.15059,0.77026,0.8428,0.84954,0.61429,1.21678,1.09054,0.98298,0.008812,0.008812,0.008812
26,1955.2,1.16623,1.24488,1.17218,0.79383,0.69312,0.85245,0.64766,1.19661,1.06897,0.92994,0.0087625,0.0087625,0.0087625
27,2026.81,1.12572,1.16576,1.15501,0.89314,0.77743,0.87765,0.64025,1.21574,1.12509,0.98082,0.008713,0.008713,0.008713
28,2097.97,1.15515,1.20683,1.1684,0.77723,0.7716,0.90289,0.66698,1.17464,0.99872,0.93554,0.0086635,0.0086635,0.0086635
29,2169.37,1.11474,1.15499,1.13965,0.92663,0.73044,0.86104,0.62863,1.37979,1.36307,1.0449,0.008614,0.008614,0.008614
30,2240.55,1.14004,1.21345,1.15353,0.77045,0.8158,0.90101,0.69456,0.93431,0.92302,0.88435,0.0085645,0.0085645,0.0085645
31,2311.95,1.11503,1.15607,1.14761,0.85186,0.75309,0.88635,0.67199,1.04712,0.94713,0.90225,0.008515,0.008515,0.008515
