epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.5199,1.51638,2.83064,1.37137,0.52403,0.65395,0.62509,0.38713,1.6845,1.68539,1.0474,0.0701508,0.00331658,0.00331658
2,188.82,1.35487,1.76978,1.18755,0.80276,0.46258,0.591,0.35149,1.78376,1.75875,1.09373,0.0401178,0.006617,0.006617
3,232.57,1.46879,1.79348,1.22627,0.51206,0.51587,0.61494,0.37888,1.70469,2.27093,1.03795,0.0100519,0.00988442,0.00988442
4,276.27,1.56487,1.87197,1.31541,0.33024,0.7963,0.49901,0.26301,1.98286,2.17797,1.34095,0.0098515,0.0098515,0.0098515
5,320,1.61554,1.82136,1.33376,0.24789,0.33581,0.25281,0.12597,1.94516,2.60372,1.25384,0.009802,0.009802,0.009802
6,363.719,1.5593,1.71624,1.31228,0.68275,0.64209,0.6629,0.43575,1.58393,1.95175,1.16359,0.0097525,0.0097525,0.0097525
7,407.54,1.49852,1.68868,1.27601,0.76203,0.72872,0.78253,0.50286,1.63864,2.36266,1.16386,0.009703,0.009703,0.009703
8,451.332,1.44761,1.59261,1.26876,0.57954,0.51378,0.62531,0.45376,1.54926,2.04525,1.02353,0.0096535,0.0096535,0.0096535
9,495.034,1.41469,1.59806,1.25728,0.52372,0.68342,0.65399,0.40069,1.94081,2.55795,1.20483,0.009604,0.009604,0.009604
10,538.748,1.39382,1.52487,1.26529,0.70177,0.79447,0.81294,0.55016,1.44986,1.22455,1.03116,0.0095545,0.0095545,0.0095545
11,582.555,1.34935,1.48632,1.23494,0.8131,0.68387,0.7771,0.57947,1.57415,1.51634,0.99015,0.009505,0.009505,0.009505
12,626.326,1.34211,1.44116,1.22197,0.86254,0.70018,0.81495,0.58743,1.50162,1.44411,1.02978,0.0094555,0.0094555,0.0094555
13,670.125,1.28664,1.36908,1.19202,0.66307,0.71252,0.73827,0.48623,1.60506,1.69402,1.11435,0.009406,0.009406,0.009406
14,713.858,1.27576,1.36053,1.20004,0.75367,0.77903,0.8532,0.5865,1.2746,1.13255,0.97797,0.0093565,0.0093565,0.0093565
15,757.68,1.26843,1.33417,1.18532,0.79928,0.66528,0.81999,0.57288,1.39389,1.20532,1.01731,0.009307,0.009307,0.009307
16,802.083,1.26281,1.31668,1.18318,0.72097,0.7381,0.67394,0.50671,1.75943,1.85511,1.16019,0.0092575,0.0092575,0.0092575
17,846.73,1.24145,1.2919,1.18107,0.82468,0.72873,0.85021,0.58076,1.561,1.32489,1.03267,0.009208,0.009208,0.009208
18,890.921,1.22226,1.28176,1.16977,0.72061,0.62937,0.75744,0.48468,1.62378,2.8654,1.16142,0.0091585,0.0091585,0.0091585
19,934.773,1.21993,1.26342,1.17349,0.66195,0.68691,0.7727,0.56554,1.57639,1.93474,1.16792,0.009109,0.009109,0.009109
20,978.57,1.19206,1.24001,1.15872,0.69619,0.85051,0.86538,0.63651,1.30475,1.10537,0.93633,0.0090595,0.0090595,0.0090595
21,1022.9,1.17548,1.24557,1.15385,0.84349,0.77177,0.86718,0.64741,1.22657,1.04236,0.92164,0.00901,0.00901,0.00901
22,1067.13,1.17925,1.25176,1.15543,0.76079,0.70677,0.77746,0.5265,1.52282,1.33984,1.04564,0.0089605,0.0089605,0.0089605
23,1110.92,1.13895,1.16722,1.13272,0.6405,0.75573,0.72974,0.49101,1.31349,1.17354,0.93494,0.008911,0.008911,0.008911
24,1154.65,1.16186,1.19456,1.15707,0.71016,0.82628,0.83969,0.6294,1.20356,1.0792,0.89965,0.0088615,0.0088615,0.0088615
25,1198.44,1.13932,1.18883,1.13676,0.76583,0.80147,0.87889,0.60995,1.4789,1.18543,1.00301,0.008812,0.008812,0.008812
26,1242.19,1.12408,1.16151,1.12819,0.71003,0.79065,0.85668,0.63783,1.2407,1.22865,0.97572,0.0087625,0.0087625,0.0087625
27,1285.88,1.11343,1.14997,1.12927,0.71962,0.80736,0.87494,0.67051,1.25887,1.06302,0.94103,0.008713,0.008713,0.008713
28,1329.69,1.12913,1.16647,1.1437,0.74833,0.84405,0.91188,0.66866,1.34246,0.99273,0.97796,0.0086635,0.0086635,0.0086635
29,1373.55,1.09595,1.12082,1.12419,0.6823,0.79365,0.85388,0.6347,1.16466,1.03825,0.92824,0.008614,0.008614,0.008614
30,1417.3,1.09583,1.13863,1.11793,0.86826,0.87974,0.91146,0.6869,1.1366,0.95796,0.93715,0.0085645,0.0085645,0.0085645
31,1461.16,1.08569,1.12455,1.1195,0.793,0.87874,0.88684,0.67856,1.16582,0.92699,0.89629,0.008515,0.008515,0.008515
32,1504.87,1.08532,1.08451,1.10706,0.80534,0.83774,0.85099,0.64236,1.24869,0.93629,0.90156,0.0084655,0.0084655,0.0084655
33,1548.59,1.06161,1.08366,1.10758,0.78818,0.78836,0.86847,0.63904,1.29446,1.15922,0.9698,0.008416,0.008416,0.008416
34,1592.31,1.06403,1.07614,1.10796,0.82208,0.72687,0.87849,0.64852,1.21484,1.52096,0.97951,0.0083665,0.0083665,0.0083665
35,1636,1.0838,1.08918,1.111,0.69863,0.88774,0.89437,0.69618,1.20629,0.93693,0.90817,0.008317,0.008317,0.008317
36,1679.8,1.04722,1.08363,1.10609,0.86305,0.71693,0.87487,0.70732,1.14378,1.00861,0.87798,0.0082675,0.0082675,0.0082675
37,1723.61,1.04617,1.06785,1.09673,0.77084,0.75597,0.8853,0.67918,1.02359,0.97539,0.89586,0.008218,0.008218,0.008218
38,1767.35,1.0671,1.09349,1.12525,0.83339,0.69136,0.81758,0.6102,1.33851,1.65511,0.93975,0.0081685,0.0081685,0.0081685
39,1811.05,1.03837,1.04329,1.08226,0.78674,0.82974,0.90845,0.71274,1.081,0.84687,0.87078,0.008119,0.008119,0.008119
40,1854.87,1.04767,1.07222,1.09398,0.73884,0.86861,0.87732,0.68198,1.14701,0.91223,0.88642,0.0080695,0.0080695,0.0080695
41,1898.76,1.03855,1.03128,1.09865,0.897,0.64907,0.8152,0.6469,1.1573,1.68142,0.96869,0.00802,0.00802,0.00802
42,1942.51,1.0148,1.01121,1.08703,0.78695,0.77263,0.88894,0.65825,1.22838,0.93341,0.95087,0.0079705,0.0079705,0.0079705
43,1986.26,1.00248,1.01913,1.08935,0.93958,0.69202,0.87716,0.68574,1.16394,0.91274,0.90278,0.007921,0.007921,0.007921
44,2030,1.00856,1.00333,1.08647,0.9753,0.69155,0.91566,0.69552,1.08147,0.85587,0.8914,0.0078715,0.0078715,0.0078715
