epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.4393,1.68448,3.75956,1.36243,0.48173,0.59612,0.62249,0.38646,1.6338,2.02309,1.0015,0.0701007,0.00332215,0.00332215
2,35.2831,1.59552,2.47643,1.25433,0.47456,0.56094,0.54312,0.36137,2.11313,1.80773,1.14014,0.0400677,0.00662254,0.00662254
3,51.6894,1.66035,2.34894,1.28213,0.6473,0.4698,0.52726,0.26257,2.17259,2.52148,1.41507,0.0100018,0.00988993,0.00988993
4,67.9988,1.70416,2.25378,1.33757,0.64566,0.69929,0.66995,0.38103,1.79464,1.99598,1.18766,0.0098515,0.0098515,0.0098515
5,84.3864,1.64567,2.12311,1.32685,0.49168,0.6746,0.63214,0.39761,1.7886,2.53227,1.07334,0.009802,0.009802,0.009802
6,100.794,1.57693,1.95719,1.29941,0.63597,0.68519,0.61032,0.41414,1.72532,3.12846,1.16585,0.0097525,0.0097525,0.0097525
7,117.147,1.53945,1.8694,1.28051,0.66918,0.64529,0.73612,0.46155,1.72241,1.69001,1.15351,0.009703,0.009703,0.009703
8,133.575,1.48617,1.79385,1.25846,0.53549,0.71477,0.70753,0.41808,1.56732,1.65959,1.08556,0.0096535,0.0096535,0.0096535
9,150.038,1.48517,1.71101,1.25195,0.85346,0.64524,0.79579,0.51752,1.44578,1.51182,0.96076,0.009604,0.009604,0.009604
10,166.525,1.43117,1.62135,1.21455,0.49774,0.82628,0.64148,0.42304,1.34194,1.5909,0.96862,0.0095545,0.0095545,0.0095545
11,182.973,1.41592,1.60865,1.21889,0.74142,0.78547,0.80313,0.50378,1.45567,1.39106,1.00528,0.009505,0.009505,0.009505
12,199.423,1.36264,1.57247,1.20278,0.65121,0.72134,0.71781,0.5232,1.33542,1.22442,0.95192,0.0094555,0.0094555,0.0094555
13,215.87,1.37141,1.52626,1.18781,0.93776,0.68029,0.81024,0.49334,1.36733,1.22735,0.93957,0.009406,0.009406,0.009406
14,232.356,1.34334,1.48766,1.18269,0.46126,0.54409,0.52648,0.36367,1.45871,1.80256,1.10974,0.0093565,0.0093565,0.0093565
15,248.943,1.30366,1.43132,1.17272,0.89335,0.76919,0.86467,0.57917,1.37988,1.0571,0.91832,0.009307,0.009307,0.009307
16,265.458,1.32597,1.4523,1.17971,0.73404,0.88748,0.89834,0.59651,1.28795,1.10511,0.94418,0.0092575,0.0092575,0.0092575
17,281.792,1.31146,1.42557,1.18072,0.7233,0.70411,0.79856,0.53888,1.29378,1.28032,0.95696,0.009208,0.009208,0.009208
18,298.145,1.29019,1.38472,1.16616,0.87216,0.63153,0.84123,0.54713,1.29026,1.21142,0.92489,0.0091585,0.0091585,0.0091585
19,314.576,1.29213,1.42534,1.16572,0.58447,0.6841,0.79039,0.59313,1.16784,1.11767,0.8827,0.009109,0.009109,0.009109
