epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5237,1.58792,3.16697,1.3747,0.57372,0.49806,0.54434,0.30856,2.46092,2.21668,1.39672,0.0701508,0.00331658,0.00331658
2,148.511,1.46255,1.84758,1.2137,0.87987,0.47105,0.61875,0.32395,1.73103,1.90001,1.08771,0.0401178,0.006617,0.006617
3,171.816,1.53474,1.82028,1.25589,0.30009,0.54581,0.50894,0.27027,1.61383,1.75397,1.01737,0.0100519,0.00988442,0.00988442
4,195.208,1.6276,1.93018,1.31288,0.67797,0.28836,0.37491,0.21043,1.86222,2.40686,1.22198,0.0098515,0.0098515,0.0098515
5,218.481,1.66409,1.87216,1.33269,0.69491,0.51587,0.59308,0.39215,2.11493,3.0859,1.35807,0.009802,0.009802,0.009802
6,243.103,1.57869,1.73032,1.29595,0.6003,0.66275,0.64264,0.40926,1.65798,2.03556,1.04575,0.0097525,0.0097525,0.0097525
7,266.977,1.53929,1.67119,1.27015,0.61105,0.67196,0.633,0.41786,1.76201,2.07225,1.20521,0.009703,0.009703,0.009703
8,290.481,1.48327,1.61394,1.25339,0.79736,0.60494,0.7928,0.51064,1.4452,1.34574,1.01904,0.0096535,0.0096535,0.0096535
9,314.381,1.43736,1.5817,1.23203,0.58942,0.73545,0.74519,0.55682,1.7178,1.53887,1.11397,0.009604,0.009604,0.009604
10,338.022,1.39418,1.50699,1.22352,0.68449,0.65344,0.68888,0.43263,1.91305,2.03835,1.21398,0.0095545,0.0095545,0.0095545
11,361.46,1.37399,1.4747,1.20984,0.80371,0.69505,0.79826,0.56202,1.52887,1.39707,1.0198,0.009505,0.009505,0.009505
12,384.936,1.33436,1.45053,1.18615,0.63792,0.75874,0.73932,0.46099,1.63064,1.81863,0.9817,0.0094555,0.0094555,0.0094555
13,408.206,1.33253,1.4053,1.18304,0.861,0.67204,0.85588,0.65206,1.26319,1.13458,0.9272,0.009406,0.009406,0.009406
14,431.528,1.28078,1.36961,1.16677,0.79921,0.74748,0.85599,0.62023,1.40957,1.53658,0.98951,0.0093565,0.0093565,0.0093565
15,455.278,1.28317,1.33576,1.16181,0.73674,0.74446,0.78659,0.55709,1.43708,1.20931,0.94541,0.009307,0.009307,0.009307
16,479.063,1.29147,1.34166,1.1518,0.71921,0.69361,0.71702,0.44673,1.91438,2.34157,1.24788,0.0092575,0.0092575,0.0092575
17,502.79,1.2673,1.33659,1.15899,0.67821,0.75661,0.8433,0.60307,1.34083,1.12765,0.92862,0.009208,0.009208,0.009208
18,526.725,1.25665,1.31162,1.15149,0.85392,0.68097,0.84928,0.56753,1.42499,1.098,0.90719,0.0091585,0.0091585,0.0091585
19,550.4,1.27679,1.33065,1.16223,0.77578,0.79453,0.84739,0.54649,1.31988,1.23798,0.93059,0.009109,0.009109,0.009109
20,573.454,1.22099,1.29138,1.13601,0.76208,0.7495,0.86227,0.5844,1.28662,1.12105,0.90446,0.0090595,0.0090595,0.0090595
21,596.514,1.20585,1.26514,1.1356,0.78644,0.78299,0.86867,0.60145,1.41301,1.07,0.90846,0.00901,0.00901,0.00901
22,619.532,1.20494,1.26308,1.13293,0.78545,0.668,0.79396,0.57017,1.28897,1.06889,0.91724,0.0089605,0.0089605,0.0089605
23,642.853,1.16942,1.1997,1.11501,0.77969,0.75573,0.85462,0.64876,1.18947,0.97498,0.89157,0.008911,0.008911,0.008911
