epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.0493,1.41477,2.0525,2.83971,1.32095,0.73565,0.72762,0.74707,0.43939,0.72477,0.71203,0.71928,0.22919,1.48295,1.78069,1.65868,0.913,0.0701007,0.00332215,0.00332215
2,168.77,1.38317,1.68619,1.78131,1.22397,0.54496,0.55379,0.5574,0.36909,0.62327,0.56966,0.56702,0.35054,1.59219,1.70053,1.54925,1.04314,0.0400677,0.00662254,0.00662254
3,251.881,1.52643,1.86023,1.82719,1.31127,0.47758,0.47884,0.54353,0.36203,0.46612,0.47266,0.52887,0.27582,1.59162,2.98919,2.10745,1.19309,0.0100018,0.00988993,0.00988993
4,334.721,1.61061,1.8366,1.91534,1.39091,0.30968,0.54586,0.41424,0.18548,0.14288,0.68342,0.26687,0.11258,2.00188,2.64707,9.83067,1.49427,0.0098515,0.0098515,0.0098515
5,417.476,1.60498,1.86137,1.89819,1.38494,0.76583,0.68691,0.69108,0.43408,0.76583,0.68691,0.70451,0.34734,1.58307,1.73275,1.75626,1.20172,0.009802,0.009802,0.009802
6,500.389,1.52696,1.78509,1.74145,1.37122,0.7089,0.64626,0.75438,0.48013,0.72406,0.65513,0.77858,0.38747,1.5892,2.03973,2.13164,1.17892,0.0097525,0.0097525,0.0097525
7,583.251,1.51585,1.64945,1.64632,1.35572,0.66893,0.76367,0.80266,0.45812,0.64295,0.73192,0.75931,0.40538,1.84845,1.72672,1.546,1.2016,0.009703,0.009703,0.009703
8,665.965,1.45544,1.55786,1.59225,1.33952,0.67502,0.69954,0.72339,0.48742,0.67557,0.69397,0.76854,0.48184,1.54533,1.55832,1.44028,1.09893,0.0096535,0.0096535,0.0096535
9,748.757,1.41959,1.57884,1.51249,1.30809,0.87102,0.68473,0.79627,0.48997,0.81694,0.66931,0.76002,0.43257,1.57733,1.59073,1.44967,1.09873,0.009604,0.009604,0.009604
10,831.476,1.38855,1.52546,1.43992,1.27876,0.71684,0.6904,0.7792,0.51855,0.76293,0.72636,0.83502,0.37553,1.73795,1.8684,1.5238,1.1823,0.0095545,0.0095545,0.0095545
11,914.26,1.37008,1.44585,1.46115,1.27508,0.82927,0.66336,0.82925,0.44516,0.8408,0.61218,0.80566,0.40243,1.61676,1.7523,1.14897,1.12919,0.009505,0.009505,0.009505
12,997.077,1.3289,1.41714,1.39381,1.27265,0.73964,0.67615,0.81258,0.56703,0.76254,0.6742,0.82176,0.49447,1.60563,1.62841,1.44008,1.06893,0.0094555,0.0094555,0.0094555
13,1079.93,1.29026,1.40157,1.36675,1.23758,0.62914,0.74691,0.71215,0.3927,0.58754,0.71257,0.67312,0.38049,1.45842,1.48588,1.37951,1.01898,0.009406,0.009406,0.009406
14,1162.6,1.25097,1.34486,1.31031,1.20689,0.7177,0.74672,0.82814,0.56477,0.6536,0.73457,0.81207,0.51887,1.40096,1.41089,1.18886,0.9717,0.0093565,0.0093565,0.0093565
