epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.734,1.44827,2.1013,3.00753,1.33024,0.55522,0.70521,0.6784,0.4184,0.55301,0.70259,0.70067,0.32412,1.92669,2.32118,2.02267,1.197,0.0701508,0.00331658,0.00331658
2,246.5,1.37983,1.71701,1.85732,1.20637,0.52153,0.71576,0.74314,0.52232,0.47435,0.6821,0.70917,0.35427,1.65848,1.98089,1.99515,1.07898,0.0401178,0.006617,0.006617
3,319.078,1.52571,1.69868,1.79103,1.30121,0.81525,0.09877,0.18254,0.07663,0.47592,0.2522,0.11702,0.04262,2.88168,5.25706,6.79594,2.18047,0.0100519,0.00988442,0.00988442
4,391.512,1.60557,1.80138,1.89692,1.3331,0.63318,0.27337,0.26823,0.11378,0.54545,0.37478,0.24474,0.0783,2.08663,2.34791,2.8037,1.40094,0.0098515,0.0098515,0.0098515
5,463.901,1.60341,1.76086,1.84772,1.35932,0.64443,0.61199,0.62556,0.42985,0.6632,0.58995,0.64392,0.36182,1.95646,1.96135,1.82691,1.17242,0.009802,0.009802,0.009802
6,536.379,1.54588,1.60803,1.67857,1.32569,0.70365,0.53115,0.65453,0.40095,0.57212,0.49647,0.47029,0.16162,1.85095,3.0491,2.70796,1.23365,0.0097525,0.0097525,0.0097525
7,608.841,1.49519,1.61349,1.63068,1.31085,0.48034,0.66334,0.70488,0.42563,0.43889,0.60637,0.62077,0.21597,1.97202,3.05242,1.83256,1.33192,0.009703,0.009703,0.009703
8,681.324,1.43059,1.56031,1.53434,1.25778,0.72602,0.61969,0.71794,0.48884,0.73727,0.63203,0.72502,0.43057,1.61476,1.96215,1.64937,1.04984,0.0096535,0.0096535,0.0096535
9,753.792,1.40965,1.52337,1.5112,1.28006,0.62827,0.67493,0.63387,0.40742,0.63757,0.69947,0.64487,0.36502,1.82365,2.00344,2.53235,1.25522,0.009604,0.009604,0.009604
10,826.036,1.35442,1.41699,1.41309,1.23919,0.55419,0.45414,0.49753,0.33154,0.55419,0.45414,0.4962,0.2809,2.21633,2.92355,3.35607,1.38332,0.0095545,0.0095545,0.0095545
11,898.401,1.32653,1.37744,1.43459,1.23128,0.86183,0.66904,0.73945,0.58837,0.85473,0.65978,0.73921,0.44854,1.34101,2.00855,1.73512,1.04867,0.009505,0.009505,0.009505
12,970.964,1.32625,1.4324,1.39213,1.22288,0.73062,0.75748,0.7716,0.49645,0.7171,0.73411,0.75364,0.41704,1.7179,1.84035,2.25111,1.13865,0.0094555,0.0094555,0.0094555
13,1043.33,1.27144,1.38175,1.33732,1.20152,0.79145,0.69574,0.81674,0.60374,0.75597,0.64953,0.8085,0.49443,1.45316,1.59229,1.27161,0.98622,0.009406,0.009406,0.009406
14,1115.8,1.25981,1.37863,1.28802,1.19778,0.83441,0.63529,0.81999,0.59101,0.65263,0.74339,0.81344,0.51477,1.37476,1.71479,1.1909,0.96375,0.0093565,0.0093565,0.0093565
15,1188.22,1.22375,1.35048,1.27234,1.17396,0.77116,0.5635,0.637,0.41297,0.74692,0.53317,0.59151,0.30254,1.83079,2.84967,2.39956,1.18442,0.009307,0.009307,0.009307
16,1260.51,1.23997,1.3344,1.26618,1.17866,0.75434,0.76477,0.86287,0.61164,0.75434,0.76477,0.86398,0.53369,1.44321,1.60682,1.07765,0.97802,0.0092575,0.0092575,0.0092575
