epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.789,1.59152,2.16737,3.87536,1.30618,0.59133,0.09083,0.21513,0.08267,0.58158,0.08466,0.23282,0.10672,3.32368,3.81582,5.63813,2.37703,0.0701508,0.00331658,0.00331658
2,142.542,1.56632,1.82892,2.6906,1.22517,0.29521,0.58907,0.35757,0.17456,0.25702,0.60141,0.33836,0.13313,1.99674,3.67095,2.8421,1.17465,0.0401178,0.006617,0.006617
3,163.103,1.66863,1.80519,2.37939,1.28047,0.62393,0.52469,0.60647,0.31259,0.61835,0.56878,0.64445,0.27073,2.16157,2.49311,1.92445,1.34538,0.0100519,0.00988442,0.00988442
4,183.457,1.71854,1.84358,2.33975,1.34505,0.65704,0.19841,0.3044,0.1622,0.74202,0.17989,0.15811,0.05553,2.62473,4.2732,3.50907,1.83213,0.0098515,0.0098515,0.0098515
5,203.831,1.6742,1.74069,2.18196,1.32692,0.49888,0.56664,0.46836,0.27084,0.47044,0.5415,0.45535,0.24338,2.07486,1.84411,2.10036,1.23104,0.009802,0.009802,0.009802
6,224.212,1.58577,1.60695,1.93615,1.30352,0.59047,0.74691,0.65674,0.40049,0.61913,0.77778,0.68699,0.32784,1.89257,2.01934,2.03091,1.09425,0.0097525,0.0097525,0.0097525
7,244.56,1.5937,1.64522,1.88994,1.30261,0.70453,0.63047,0.64985,0.40786,0.69533,0.62222,0.6727,0.36866,1.62014,1.87832,1.96731,1.0272,0.009703,0.009703,0.009703
8,264.969,1.50065,1.63876,1.74041,1.24825,0.69195,0.18254,0.31791,0.16481,0.69195,0.18254,0.21851,0.08552,1.81062,4.08575,3.23091,1.12109,0.0096535,0.0096535,0.0096535
9,285.381,1.44286,1.52487,1.70117,1.21783,0.79706,0.72771,0.7656,0.45146,0.79273,0.73174,0.78146,0.48108,1.45669,1.74922,1.75634,1.009,0.009604,0.009604,0.009604
10,305.793,1.3882,1.407,1.58329,1.20497,0.91303,0.57763,0.80861,0.527,0.88666,0.56162,0.79869,0.48067,1.4756,1.7425,1.20162,0.96959,0.0095545,0.0095545,0.0095545
11,326.209,1.38574,1.40553,1.53906,1.20379,0.87976,0.6721,0.80018,0.56804,0.83364,0.63387,0.76584,0.4921,1.29697,1.56564,1.4581,0.90627,0.009505,0.009505,0.009505
12,346.533,1.37795,1.42374,1.48579,1.17948,0.76683,0.70739,0.73599,0.56696,0.81485,0.66538,0.75954,0.47096,1.35831,1.62168,1.34336,0.94424,0.0094555,0.0094555,0.0094555
13,366.941,1.3022,1.39006,1.42219,1.16394,0.9334,0.68918,0.84806,0.59746,0.70856,0.76094,0.78325,0.49581,1.45088,1.54353,1.16912,0.94279,0.009406,0.009406,0.009406
14,387.306,1.29819,1.40624,1.41267,1.15249,0.70189,0.83389,0.83901,0.58314,0.68253,0.81185,0.81098,0.50171,1.30245,1.76704,1.16608,0.93111,0.0093565,0.0093565,0.0093565
15,407.662,1.29026,1.40732,1.37989,1.14887,0.89354,0.72954,0.86868,0.64604,0.86126,0.68528,0.84462,0.48118,1.26776,1.80808,1.09115,0.92614,0.009307,0.009307,0.009307
16,428.027,1.29833,1.33379,1.34641,1.1413,0.83422,0.73119,0.85051,0.60602,0.86959,0.70584,0.84889,0.53732,1.43361,1.60375,1.18831,0.92522,0.0092575,0.0092575,0.0092575
17,448.392,1.30261,1.30393,1.36254,1.15604,0.7682,0.76475,0.84809,0.63706,0.75433,0.73349,0.8425,0.54913,1.28945,1.38679,1.21754,0.92248,0.009208,0.009208,0.009208
18,468.741,1.26398,1.39283,1.34031,1.14343,0.73558,0.72487,0.83482,0.58517,0.71378,0.70899,0.81251,0.48897,1.34478,1.5966,1.11603,0.86869,0.0091585,0.0091585,0.0091585
19,489.086,1.24959,1.41383,1.30878,1.13451,0.72049,0.74399,0.85381,0.60179,0.67834,0.66901,0.7752,0.43398,1.38468,2.1695,1.50689,0.88971,0.009109,0.009109,0.009109
20,509.373,1.22322,1.27892,1.27764,1.12226,0.73136,0.77534,0.82867,0.57705,0.72223,0.79066,0.80341,0.48759,1.42876,1.66513,1.34254,0.90064,0.0090595,0.0090595,0.0090595
21,529.737,1.23509,1.36393,1.28847,1.13543,0.81477,0.74427,0.86842,0.63027,0.77137,0.71268,0.83393,0.54422,1.18897,1.51205,1.12879,0.85819,0.00901,0.00901,0.00901
22,550.153,1.22256,1.27004,1.29911,1.12287,0.92942,0.72134,0.8318,0.59465,0.9033,0.70547,0.81765,0.47452,1.31741,1.71844,1.46087,0.90265,0.0089605,0.0089605,0.0089605
23,570.532,1.18044,1.28474,1.21685,1.10077,0.69351,0.86149,0.90516,0.67131,0.6887,0.8569,0.89748,0.58762,1.10919,1.48857,1.00239,0.84895,0.008911,0.008911,0.008911
24,590.947,1.19536,1.26439,1.24464,1.11725,0.80537,0.79072,0.89397,0.69145,0.79872,0.74691,0.88046,0.5375,1.09662,1.58163,1.0118,0.83333,0.0088615,0.0088615,0.0088615
25,611.324,1.17704,1.28405,1.22173,1.11295,0.79544,0.80764,0.85422,0.61265,0.80191,0.81381,0.87024,0.51419,1.25499,1.81733,1.21345,0.84966,0.008812,0.008812,0.008812
26,631.651,1.1724,1.29707,1.18627,1.09856,0.81756,0.88178,0.90699,0.66878,0.80098,0.8657,0.88784,0.57076,1.24412,1.49265,0.98731,0.87226,0.0087625,0.0087625,0.0087625
27,652.046,1.1591,1.22341,1.19383,1.09446,0.88273,0.71104,0.89871,0.70189,0.88273,0.71104,0.89084,0.57767,1.19187,1.70374,0.96278,0.82386,0.008713,0.008713,0.008713
28,672.493,1.17666,1.26841,1.21116,1.10872,0.71699,0.89051,0.8902,0.63861,0.68912,0.86123,0.85053,0.54463,1.25368,1.60325,0.95387,0.86366,0.0086635,0.0086635,0.0086635
