epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.92,1.57541,2.14381,3.26907,1.33925,0.70403,0.64294,0.77128,0.41166,0.67992,0.62707,0.75282,0.32625,1.47437,1.82297,1.62088,1.00063,0.0701007,0.00332215,0.00332215
2,170.847,1.46021,1.71285,1.85569,1.2075,0.60903,0.7265,0.70667,0.39432,0.60374,0.72663,0.68009,0.40014,1.76094,2.04385,1.46001,1.02238,0.0400677,0.00662254,0.00662254
3,205.352,1.58588,1.86127,1.90873,1.2654,0.68813,0.62548,0.59515,0.39912,0.6988,0.64196,0.61193,0.29181,1.86222,1.99752,1.72796,1.1115,0.0100018,0.00988993,0.00988993
4,239.778,1.69594,1.78985,1.91265,1.31951,0.41705,0.74914,0.56179,0.34274,0.42054,0.75531,0.58282,0.29311,1.68283,1.53725,1.7288,1.22202,0.0098515,0.0098515,0.0098515
5,274.224,1.65386,1.78238,1.8286,1.30725,0.80068,0.41304,0.69611,0.41823,0.82433,0.43783,0.71342,0.40516,1.74571,1.69004,1.69337,1.15094,0.009802,0.009802,0.009802
6,308.736,1.59878,1.70089,1.7736,1.28836,0.73811,0.46649,0.48645,0.25792,0.71399,0.43623,0.45422,0.20071,1.60385,2.30445,1.99887,1.11138,0.0097525,0.0097525,0.0097525
7,343.198,1.55272,1.6095,1.66975,1.26706,0.83656,0.7705,0.84375,0.56018,0.7977,0.73593,0.7996,0.45591,1.51544,1.67922,1.25703,1.03579,0.009703,0.009703,0.009703
8,377.731,1.45075,1.48201,1.58063,1.22701,0.75871,0.7134,0.7622,0.51898,0.73034,0.6903,0.76037,0.4501,1.56158,1.89832,1.38411,1.04706,0.0096535,0.0096535,0.0096535
9,412.247,1.44642,1.53978,1.53466,1.22144,0.79458,0.81235,0.87116,0.59761,0.77568,0.81749,0.84931,0.54268,1.28637,1.56201,1.19971,0.87555,0.009604,0.009604,0.009604
10,446.729,1.40188,1.46605,1.44482,1.19372,0.7898,0.73454,0.8295,0.57592,0.7721,0.71867,0.78783,0.49203,1.39747,2.04764,1.13871,0.95569,0.0095545,0.0095545,0.0095545
11,481.154,1.37638,1.43202,1.46223,1.19742,0.60634,0.70019,0.66107,0.40667,0.52622,0.63122,0.59829,0.29676,1.96737,2.65642,2.31906,1.23001,0.009505,0.009505,0.009505
12,515.678,1.35413,1.40108,1.40693,1.18387,0.66414,0.77712,0.84816,0.53318,0.64672,0.76479,0.81035,0.50324,1.55725,1.97213,1.21749,1.06997,0.0094555,0.0094555,0.0094555
13,550.208,1.31703,1.37245,1.36996,1.17024,0.75827,0.7531,0.81877,0.50015,0.71687,0.69531,0.7659,0.45533,1.44958,1.82671,1.17411,0.94807,0.009406,0.009406,0.009406
