epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.926,1.40016,1.99628,2.93384,1.34161,0.74741,0.6373,0.71018,0.50344,0.74741,0.6373,0.69343,0.30634,1.47145,2.69192,1.66915,1.24111,0.0701007,0.00332215,0.00332215
2,293.165,1.27461,1.58446,1.71448,1.19439,0.56931,0.78655,0.7608,0.51028,0.5777,0.80771,0.76786,0.41617,1.62171,1.7435,1.28896,1.05363,0.0400677,0.00662254,0.00662254
3,389.132,1.38407,1.6755,1.79297,1.24273,0.75644,0.64393,0.75138,0.50773,0.75108,0.63504,0.74298,0.42134,1.53443,1.65325,1.40876,1.06956,0.0100018,0.00988993,0.00988993
4,484.804,1.48113,1.69343,1.76954,1.30295,0.54744,0.50639,0.51372,0.32707,0.46459,0.4861,0.47354,0.2225,1.96234,2.73796,2.13191,1.48614,0.0098515,0.0098515,0.0098515
5,580.381,1.45455,1.72965,1.74844,1.29258,0.73273,0.71706,0.75284,0.47257,0.74643,0.68104,0.75911,0.42639,1.59906,1.59651,1.50007,1.07668,0.009802,0.009802,0.009802
6,676.036,1.43669,1.64013,1.63041,1.30176,0.39455,0.78924,0.59108,0.38376,0.39553,0.79894,0.59187,0.28027,1.54564,2.02977,1.68343,1.19651,0.0097525,0.0097525,0.0097525
7,771.75,1.40393,1.61082,1.57286,1.28704,0.90839,0.65424,0.80866,0.54178,0.88259,0.62216,0.79595,0.51493,1.51889,1.8772,1.25723,1.0954,0.009703,0.009703,0.009703
8,867.673,1.36214,1.46693,1.51587,1.28615,0.6677,0.68692,0.78773,0.50271,0.65957,0.68244,0.78325,0.47713,1.46625,1.42816,1.39314,1.07584,0.0096535,0.0096535,0.0096535
9,963.408,1.34423,1.48291,1.45958,1.26602,0.66778,0.74671,0.83364,0.56639,0.65474,0.72113,0.79212,0.43626,1.45086,1.66212,1.22986,1.05287,0.009604,0.009604,0.009604
10,1059.1,1.29498,1.43655,1.40792,1.23479,0.80884,0.77879,0.83558,0.57888,0.81827,0.78358,0.85081,0.52001,1.33842,1.52141,1.21349,1.03613,0.0095545,0.0095545,0.0095545
11,1155.08,1.30188,1.38648,1.39935,1.2443,0.63768,0.78765,0.8353,0.5827,0.66088,0.78748,0.83719,0.53283,1.36862,1.40019,1.07938,1.03514,0.009505,0.009505,0.009505
12,1250.94,1.24666,1.36362,1.36799,1.23051,0.63804,0.4942,0.77542,0.54134,0.95604,0.54214,0.79323,0.47535,1.44222,1.45232,2.33944,0.98137,0.0094555,0.0094555,0.0094555
13,1346.66,1.25441,1.36835,1.3419,1.22343,0.80075,0.72134,0.84273,0.50729,0.75217,0.68959,0.80013,0.53572,1.2771,1.34816,1.31172,0.99967,0.009406,0.009406,0.009406
14,1442.36,1.21902,1.34802,1.31726,1.1989,0.66439,0.70928,0.73358,0.46552,0.65676,0.69198,0.74809,0.41309,1.68927,1.52781,1.41536,1.20494,0.0093565,0.0093565,0.0093565
15,1538.11,1.2018,1.29813,1.26189,1.19427,0.73603,0.77219,0.84849,0.57366,0.76461,0.72571,0.86934,0.57685,1.36712,1.31856,1.02789,1.00742,0.009307,0.009307,0.009307
16,1634,1.21793,1.31925,1.24009,1.19296,0.75283,0.81819,0.86593,0.62615,0.72039,0.81496,0.86004,0.54865,1.3295,1.3316,1.02794,0.99443,0.0092575,0.0092575,0.0092575
17,1729.84,1.19831,1.34291,1.25094,1.20209,0.75444,0.86915,0.86862,0.55369,0.73347,0.84961,0.85052,0.48374,1.39413,1.5469,1.11814,1.06993,0.009208,0.009208,0.009208
18,1825.46,1.1743,1.29811,1.22559,1.18857,0.73924,0.71429,0.84373,0.58557,0.73631,0.71429,0.84807,0.48656,1.30778,1.28871,1.06535,0.97172,0.0091585,0.0091585,0.0091585
19,1921.2,1.15235,1.24965,1.2294,1.18214,0.68231,0.84161,0.86493,0.60608,0.67657,0.83544,0.85683,0.49635,1.2138,1.44412,1.1257,0.92477,0.009109,0.009109,0.009109
20,2016.91,1.1483,1.24859,1.19405,1.17225,0.71922,0.80643,0.80379,0.52339,0.71286,0.79972,0.78675,0.42226,1.17013,1.31018,0.99631,0.969,0.0090595,0.0090595,0.0090595
21,2112.59,1.13767,1.21894,1.19962,1.17007,0.73576,0.84837,0.87117,0.6383,0.73576,0.84837,0.8769,0.55938,1.25511,1.44275,0.96933,0.95129,0.00901,0.00901,0.00901
22,2208.51,1.13721,1.23164,1.17774,1.14731,0.54051,0.87457,0.75597,0.49409,0.51995,0.89859,0.71084,0.40926,1.2474,1.41905,1.01335,0.94549,0.0089605,0.0089605,0.0089605
23,2304.2,1.09667,1.20171,1.12724,1.13336,0.80626,0.82709,0.92152,0.65926,0.79758,0.79894,0.9038,0.51056,1.22787,1.52472,1.01318,0.92611,0.008911,0.008911,0.008911
24,2399.88,1.11942,1.20992,1.14581,1.1424,0.82631,0.77947,0.86838,0.62293,0.78502,0.75826,0.83275,0.48735,1.28933,1.53162,0.94169,0.98795,0.0088615,0.0088615,0.0088615
25,2495.57,1.09763,1.21808,1.11705,1.13225,0.7503,0.80415,0.87326,0.62056,0.70261,0.76482,0.82169,0.54791,1.23907,1.34314,1.01451,0.9295,0.008812,0.008812,0.008812
26,2591.3,1.10328,1.19391,1.16757,1.14258,0.70111,0.92769,0.82502,0.50296,0.67078,0.89594,0.77482,0.44105,1.28819,1.47132,0.97078,0.9401,0.0087625,0.0087625,0.0087625
27,2686.99,1.0871,1.19102,1.10177,1.13569,0.74602,0.84554,0.85721,0.63888,0.73935,0.838,0.85682,0.53333,1.11208,1.40991,0.97327,0.92558,0.008713,0.008713,0.008713
28,2782.61,1.07365,1.17069,1.09227,1.14283,0.7942,0.82709,0.87733,0.65426,0.78955,0.82854,0.86755,0.49366,1.21186,1.49534,0.90351,0.91597,0.0086635,0.0086635,0.0086635
29,2878.23,1.0557,1.16036,1.065,1.12643,0.81743,0.79915,0.89348,0.67617,0.77036,0.7525,0.8475,0.51898,1.22082,1.45955,1.07761,0.93574,0.008614,0.008614,0.008614
30,2973.95,1.09059,1.22036,1.14395,1.13446,0.76499,0.80195,0.82996,0.61992,0.66561,0.77866,0.80342,0.51437,1.2201,1.65252,0.97952,0.94702,0.0085645,0.0085645,0.0085645
31,3069.66,1.0768,1.12672,1.07453,1.12868,0.58483,0.89398,0.74154,0.51014,0.55979,0.86243,0.71018,0.45241,1.14315,1.32644,1.00259,0.93662,0.008515,0.008515,0.008515
