epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.245,1.50092,2.04785,3.26099,1.35892,0.54616,0.72484,0.72832,0.53874,0.53388,0.69463,0.66232,0.28828,1.3704,1.85532,1.47557,1.00978,0.0701007,0.00332215,0.00332215
2,229.527,1.33503,1.59763,1.72182,1.18972,0.68905,0.70684,0.72482,0.49174,0.68439,0.70067,0.72791,0.28623,1.46601,1.81574,1.35492,0.9638,0.0400677,0.00662254,0.00662254
3,293.387,1.4352,1.71002,1.76345,1.23438,0.57104,0.63103,0.73787,0.46853,0.53838,0.62325,0.6765,0.37398,1.82041,2.10438,1.60367,1.15952,0.0100018,0.00988993,0.00988993
4,357.368,1.5189,1.63298,1.76705,1.28895,0.78401,0.48148,0.54737,0.28582,0.78355,0.48148,0.51595,0.2969,1.57215,1.70985,1.88772,1.12444,0.0098515,0.0098515,0.0098515
5,421.178,1.50275,1.74799,1.77543,1.28976,0.75456,0.71614,0.75132,0.49424,0.74881,0.71881,0.76742,0.42282,1.67693,1.74879,1.70831,1.14772,0.009802,0.009802,0.009802
6,485.093,1.4516,1.63161,1.64138,1.28337,0.87782,0.41212,0.66139,0.4158,0.35561,0.6746,0.62453,0.28755,1.602,1.78711,1.42113,1.15255,0.0097525,0.0097525,0.0097525
7,548.856,1.44095,1.5713,1.60555,1.27751,0.7125,0.76577,0.75977,0.52315,0.73455,0.78981,0.76234,0.43685,1.41666,1.65788,1.45978,1.01481,0.009703,0.009703,0.009703
8,612.766,1.36814,1.46259,1.5594,1.24573,0.52308,0.69135,0.6217,0.40736,0.52514,0.68664,0.63747,0.3688,2.03172,3.12259,2.24177,1.29482,0.0096535,0.0096535,0.0096535
9,676.576,1.35053,1.50378,1.47983,1.23911,0.83175,0.77441,0.82037,0.53497,0.8249,0.77116,0.82316,0.49918,1.48274,1.67329,1.23126,0.99509,0.009604,0.009604,0.009604
10,740.461,1.31087,1.44387,1.39291,1.21918,0.78876,0.78198,0.85925,0.63669,0.76774,0.76731,0.87071,0.48721,1.43259,1.59888,1.09666,0.99974,0.0095545,0.0095545,0.0095545
11,804.364,1.291,1.35699,1.40508,1.21264,0.78786,0.69661,0.83138,0.61454,0.80164,0.70631,0.84334,0.51544,1.33706,1.58589,1.08102,1.02658,0.009505,0.009505,0.009505
12,868.121,1.26508,1.33307,1.36259,1.21423,0.57956,0.70166,0.73675,0.51725,0.56968,0.70374,0.73243,0.45834,1.31743,1.37453,1.11953,0.96052,0.0094555,0.0094555,0.0094555
13,931.865,1.25003,1.36473,1.37741,1.19615,0.80481,0.72883,0.83185,0.47125,0.78761,0.70102,0.82209,0.49672,1.56697,1.76397,1.22056,1.08745,0.009406,0.009406,0.009406
14,995.588,1.23279,1.30664,1.32206,1.18064,0.90343,0.70929,0.88892,0.65913,0.8549,0.67849,0.87439,0.54432,1.29709,1.36819,1.02115,0.94924,0.0093565,0.0093565,0.0093565
15,1059.57,1.19324,1.30394,1.26284,1.16818,0.74533,0.74658,0.76487,0.55124,0.70103,0.73017,0.74919,0.49113,1.26167,1.6786,1.20441,0.96492,0.009307,0.009307,0.009307
16,1123.35,1.2248,1.3394,1.2941,1.1741,0.78459,0.75283,0.86992,0.63361,0.76581,0.78072,0.87643,0.54658,1.38545,1.80862,1.25448,1.00062,0.0092575,0.0092575,0.0092575
17,1187.16,1.20086,1.32482,1.26335,1.16701,0.7571,0.77249,0.81658,0.52414,0.74957,0.76631,0.82643,0.42413,1.4333,1.66431,1.25863,1.09821,0.009208,0.009208,0.009208
18,1250.9,1.19041,1.28165,1.23054,1.16042,0.93061,0.7497,0.88158,0.65151,0.90588,0.73414,0.87238,0.53181,1.31778,1.45179,1.00508,0.96309,0.0091585,0.0091585,0.0091585
19,1314.69,1.17199,1.26041,1.24926,1.16387,0.78391,0.76219,0.86731,0.6594,0.74997,0.71562,0.819,0.50794,1.23322,1.38049,1.10397,0.95287,0.009109,0.009109,0.009109
20,1378.51,1.15159,1.24968,1.22262,1.14058,0.92594,0.70562,0.84987,0.66888,0.92594,0.70562,0.84313,0.54712,1.03186,1.44553,0.99024,0.92276,0.0090595,0.0090595,0.0090595
21,1442.41,1.14585,1.21169,1.20755,1.15229,0.88456,0.70899,0.85186,0.65104,0.86292,0.69312,0.82774,0.52041,1.11616,1.44729,0.95185,0.91041,0.00901,0.00901,0.00901
22,1506.2,1.14772,1.22462,1.19049,1.14495,0.70995,0.82786,0.88457,0.66941,0.69086,0.80791,0.81746,0.53278,1.13862,1.62735,1.04531,0.94692,0.0089605,0.0089605,0.0089605
23,1569.98,1.12247,1.20153,1.17459,1.12406,0.72448,0.84236,0.89,0.67281,0.71411,0.81994,0.87161,0.53153,1.18034,1.56824,0.98716,0.94266,0.008911,0.008911,0.008911
24,1633.77,1.13497,1.21103,1.171,1.12864,0.77785,0.83245,0.89,0.64803,0.77785,0.83245,0.88718,0.55682,1.19661,1.60177,0.99158,0.94109,0.0088615,0.0088615,0.0088615
25,1697.54,1.1093,1.20586,1.14357,1.12756,0.767,0.80093,0.85909,0.69276,0.82956,0.69692,0.81831,0.50812,1.17868,1.58664,1.11565,0.88833,0.008812,0.008812,0.008812
26,1761.36,1.13687,1.20873,1.19283,1.14926,0.78899,0.77484,0.879,0.67276,0.80537,0.70232,0.82799,0.5473,1.19707,1.36963,0.95984,0.93043,0.0087625,0.0087625,0.0087625
27,1825.29,1.11953,1.18892,1.16539,1.13905,0.78086,0.83915,0.91291,0.6856,0.77096,0.8316,0.90487,0.56035,1.21638,1.44022,0.93346,0.91785,0.008713,0.008713,0.008713
28,1889.23,1.10084,1.17687,1.13339,1.13652,0.91121,0.67275,0.87111,0.61814,0.83958,0.62951,0.79286,0.50162,1.27704,1.85467,1.21312,1.01513,0.0086635,0.0086635,0.0086635
29,1953.04,1.07623,1.18079,1.10003,1.11114,0.86249,0.86794,0.87494,0.62253,0.82963,0.83029,0.82774,0.53397,1.17507,1.50623,0.90947,0.95133,0.008614,0.008614,0.008614
30,2016.89,1.08809,1.20405,1.13898,1.12526,0.758,0.85626,0.9102,0.69407,0.71906,0.82675,0.85368,0.55392,1.03531,1.67355,0.88981,0.88843,0.0085645,0.0085645,0.0085645
31,2080.73,1.0686,1.14227,1.09206,1.10716,0.89125,0.70208,0.87187,0.64579,0.82704,0.67619,0.81384,0.53017,1.08779,1.38855,0.96575,0.89443,0.008515,0.008515,0.008515
32,2144.6,1.05312,1.17867,1.11273,1.10616,0.70499,0.85964,0.84891,0.634,0.73935,0.85802,0.83101,0.50385,1.20724,1.84054,1.0873,0.94772,0.0084655,0.0084655,0.0084655
33,2208.46,1.0283,1.12361,1.08316,1.09472,0.7969,0.78937,0.90893,0.69299,0.7969,0.78937,0.89799,0.58163,1.16571,1.52687,0.91039,0.89867,0.008416,0.008416,0.008416
34,2272.35,1.04642,1.11504,1.0721,1.10919,0.85188,0.75805,0.88762,0.71926,0.8289,0.75944,0.85916,0.5426,0.98296,1.35476,0.88098,0.86593,0.0083665,0.0083665,0.0083665
35,2336.18,1.03977,1.11964,1.06058,1.09807,0.7982,0.74011,0.86524,0.66169,0.77741,0.72811,0.83862,0.52285,1.12352,1.54548,0.95751,0.89239,0.008317,0.008317,0.008317
36,2399.96,1.04194,1.14921,1.06632,1.09725,0.79817,0.7186,0.80613,0.63215,0.79817,0.7186,0.80778,0.49563,1.10242,1.41619,0.8989,0.90018,0.0082675,0.0082675,0.0082675
37,2463.81,1.04081,1.13485,1.03815,1.0926,0.81465,0.78483,0.9032,0.6944,0.84741,0.73721,0.85145,0.56583,1.06007,1.27326,0.89711,0.90802,0.008218,0.008218,0.008218
38,2527.67,1.00105,1.11304,1.04012,1.07826,0.7576,0.78439,0.86873,0.67221,0.72725,0.75126,0.84534,0.51001,1.07334,1.31086,0.92264,0.87688,0.0081685,0.0081685,0.0081685
39,2591.52,1.02659,1.09968,1.03034,1.10549,0.92032,0.74912,0.89748,0.70777,0.90973,0.72595,0.85446,0.527,1.02014,1.4619,0.94237,0.88033,0.008119,0.008119,0.008119
40,2655.34,0.9955,1.07608,0.99562,1.08552,0.78129,0.76283,0.89317,0.69882,0.75978,0.74696,0.86937,0.55198,0.99173,1.54282,0.87265,0.88797,0.0080695,0.0080695,0.0080695
41,2719.18,1.02395,1.11774,1.01434,1.09429,0.845,0.69061,0.89294,0.69437,0.79862,0.65873,0.82373,0.55257,1.07245,1.64567,0.85319,0.89238,0.00802,0.00802,0.00802
42,2782.99,1.01036,1.15119,1.02374,1.07988,0.66441,0.91084,0.90204,0.70634,0.76712,0.72774,0.87527,0.56713,0.93585,1.35263,0.81476,0.87362,0.0079705,0.0079705,0.0079705
43,2846.83,0.99608,1.11495,0.99571,1.07323,0.85327,0.76849,0.87229,0.67554,0.84114,0.72172,0.84447,0.50792,1.25541,1.77296,1.04861,0.9491,0.007921,0.007921,0.007921
