epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.262,1.6288,2.15297,3.69543,1.3321,0.47782,0.42415,0.46158,0.28269,0.43696,0.39683,0.44107,0.24237,1.70492,1.60099,2.1042,1.14995,0.0701007,0.00332215,0.00332215
2,144.888,1.55339,1.72936,2.4293,1.23692,0.42979,0.47971,0.43014,0.2218,0.25896,0.26255,0.22007,0.0895,2.35754,3.65351,2.81429,1.62759,0.0400677,0.00662254,0.00662254
3,166.238,1.63325,1.8744,2.3341,1.28965,0.42925,0.78945,0.61262,0.36313,0.39647,0.75345,0.58581,0.28936,1.77795,2.28677,2.03113,1.15661,0.0100018,0.00988993,0.00988993
4,187.82,1.66155,1.74418,2.23392,1.33843,0.82075,0.03175,0.01657,0.00442,0.82075,0.03175,0.02364,0.01943,2.71985,5.36161,5.28108,2.0829,0.0098515,0.0098515,0.0098515
5,209.382,1.60984,1.78483,2.10385,1.31457,0.58855,0.68796,0.65656,0.39469,0.62203,0.76367,0.70894,0.43229,1.75358,1.62436,2.17907,1.08393,0.009802,0.009802,0.009802
6,230.997,1.54015,1.68984,1.91386,1.28738,0.63791,0.70523,0.74679,0.52649,0.65095,0.72013,0.7539,0.41709,1.55541,1.92608,1.52804,0.99863,0.0097525,0.0097525,0.0097525
7,252.503,1.49713,1.60701,1.80945,1.24833,0.84731,0.6596,0.76141,0.48055,0.84731,0.6596,0.78306,0.46797,1.59232,1.68956,1.95932,1.06153,0.009703,0.009703,0.009703
8,273.982,1.4385,1.48139,1.72186,1.22929,0.62628,0.50329,0.5441,0.3655,0.64824,0.44299,0.55404,0.28015,1.72528,2.43052,2.26004,1.13689,0.0096535,0.0096535,0.0096535
9,295.563,1.43307,1.52833,1.63435,1.21581,0.79637,0.71646,0.78966,0.52128,0.77879,0.69342,0.78631,0.48419,1.34795,1.84305,1.59396,0.92707,0.009604,0.009604,0.009604
10,317.09,1.38162,1.44417,1.55394,1.19342,0.67554,0.76014,0.78237,0.48473,0.65584,0.74427,0.77026,0.48248,1.38102,1.5254,1.29323,0.96263,0.0095545,0.0095545,0.0095545
11,338.713,1.36897,1.39745,1.56846,1.20959,0.66423,0.68565,0.75541,0.53959,0.60577,0.75538,0.76025,0.50626,1.34551,1.54844,1.20279,0.96313,0.009505,0.009505,0.009505
12,360.25,1.32159,1.36249,1.48798,1.18459,0.74385,0.67463,0.7931,0.53707,0.73816,0.71086,0.81107,0.47249,1.44493,1.71464,1.49478,0.98289,0.0094555,0.0094555,0.0094555
13,381.809,1.31373,1.3629,1.46699,1.17372,0.72237,0.73939,0.8229,0.52152,0.74856,0.78748,0.84372,0.52838,1.38788,1.47738,1.23242,0.95743,0.009406,0.009406,0.009406
14,403.307,1.30051,1.35471,1.43583,1.16277,0.71981,0.77527,0.8296,0.608,0.69589,0.75656,0.82707,0.53296,1.31921,1.54918,1.19036,0.94292,0.0093565,0.0093565,0.0093565
15,424.836,1.26751,1.36058,1.37242,1.15219,0.82337,0.74757,0.84917,0.6145,0.79338,0.75049,0.87057,0.53086,1.42007,1.39223,1.19445,0.92738,0.009307,0.009307,0.009307
16,446.341,1.28673,1.34669,1.38452,1.16201,0.84039,0.74074,0.89056,0.6318,0.77558,0.78022,0.88109,0.5609,1.2313,1.39333,1.16561,0.88829,0.0092575,0.0092575,0.0092575
17,467.838,1.26317,1.35722,1.36231,1.15799,0.84082,0.72822,0.80774,0.498,0.81497,0.71583,0.80058,0.4388,1.38779,1.9251,1.40439,1.03586,0.009208,0.009208,0.009208
18,489.359,1.24012,1.33454,1.35453,1.14999,0.93116,0.71147,0.88455,0.67078,0.93128,0.713,0.88296,0.54407,1.10081,1.52287,1.08008,0.8802,0.0091585,0.0091585,0.0091585
19,511.036,1.23137,1.29433,1.35119,1.15185,0.74031,0.75558,0.83655,0.63126,0.74215,0.74785,0.82069,0.53078,1.16825,1.53285,1.06518,0.89021,0.009109,0.009109,0.009109
20,532.568,1.21452,1.27849,1.30905,1.12618,0.69799,0.80688,0.87936,0.59176,0.73114,0.83774,0.89525,0.52508,1.47956,1.58127,1.1455,0.97445,0.0090595,0.0090595,0.0090595
21,554.127,1.21262,1.26351,1.29982,1.13189,0.7163,0.82052,0.85713,0.65549,0.72191,0.82669,0.86232,0.58959,1.17017,1.39662,0.99059,0.87363,0.00901,0.00901,0.00901
22,575.682,1.23399,1.26578,1.3189,1.13453,0.48395,0.62495,0.54313,0.37671,0.46566,0.58995,0.50922,0.29416,1.23446,1.79517,1.31268,0.91303,0.0089605,0.0089605,0.0089605
23,597.22,1.1948,1.26553,1.25888,1.11333,0.68042,0.82804,0.84035,0.59661,0.71276,0.78042,0.8327,0.51517,1.34916,1.59584,1.02714,0.90641,0.008911,0.008911,0.008911
24,618.71,1.1866,1.2523,1.27497,1.10451,0.74178,0.80347,0.86355,0.66318,0.74753,0.80083,0.8779,0.55115,1.24489,1.46836,1.07415,0.8521,0.0088615,0.0088615,0.0088615
25,640.154,1.17417,1.25167,1.22219,1.10569,0.68897,0.80512,0.83824,0.63898,0.67386,0.75309,0.81702,0.50454,1.24422,1.63781,1.14104,0.86864,0.008812,0.008812,0.008812
26,661.763,1.16822,1.26588,1.26621,1.11905,0.78773,0.76474,0.87981,0.64426,0.75907,0.7522,0.86714,0.54134,1.18436,1.48089,1.00868,0.8515,0.0087625,0.0087625,0.0087625
27,683.328,1.16743,1.22768,1.22061,1.11116,0.78003,0.81337,0.88398,0.67477,0.76192,0.79811,0.87752,0.56538,1.19586,1.38616,0.98465,0.85276,0.008713,0.008713,0.008713
28,704.772,1.18405,1.2293,1.21243,1.11387,0.74965,0.79012,0.87934,0.65879,0.76096,0.75838,0.84922,0.5355,1.16257,1.54173,1.01474,0.8934,0.0086635,0.0086635,0.0086635
29,726.101,1.13924,1.19869,1.18978,1.09419,0.90758,0.77839,0.89664,0.67116,0.89133,0.75617,0.88249,0.56307,1.3233,1.49768,1.00836,0.89406,0.008614,0.008614,0.008614
30,747.641,1.16391,1.28817,1.24256,1.11179,0.91662,0.74956,0.90236,0.67816,0.90237,0.73369,0.86227,0.53138,1.12953,1.49492,0.93705,0.85063,0.0085645,0.0085645,0.0085645
31,769.06,1.14709,1.20622,1.19398,1.09392,0.81545,0.76647,0.9011,0.72838,0.80836,0.7603,0.88723,0.57412,1.09115,1.51525,0.98142,0.85031,0.008515,0.008515,0.008515
32,790.542,1.1273,1.22951,1.18922,1.08673,0.7375,0.78421,0.88751,0.65893,0.7375,0.78421,0.88872,0.53745,1.10836,1.51573,0.91597,0.84259,0.0084655,0.0084655,0.0084655
33,812.083,1.09445,1.17987,1.17241,1.08313,0.78428,0.83401,0.90925,0.65636,0.78044,0.81931,0.90267,0.59102,1.15022,1.36499,0.93368,0.81182,0.008416,0.008416,0.008416
34,833.515,1.09694,1.1894,1.16162,1.08518,0.7066,0.81253,0.83473,0.64233,0.71113,0.8187,0.83732,0.54945,1.11134,1.31699,1.01974,0.84241,0.0083665,0.0083665,0.0083665
35,854.928,1.09826,1.17824,1.12767,1.07294,0.73662,0.86563,0.8971,0.66062,0.68855,0.81801,0.82224,0.52833,1.19262,1.55852,0.9673,0.84607,0.008317,0.008317,0.008317
36,876.431,1.11263,1.19441,1.15226,1.07454,0.76719,0.78384,0.8556,0.60896,0.78445,0.79907,0.85851,0.51595,1.16126,1.4943,0.94989,0.85445,0.0082675,0.0082675,0.0082675
37,897.882,1.09029,1.1967,1.14171,1.07733,0.82485,0.76617,0.87788,0.68289,0.73998,0.80255,0.85927,0.57915,1.00488,1.29851,0.89325,0.8222,0.008218,0.008218,0.008218
38,919.466,1.07173,1.1735,1.11867,1.06198,0.75511,0.87022,0.91079,0.69724,0.74122,0.85197,0.88391,0.55015,1.01322,1.45991,0.94605,0.81947,0.0081685,0.0081685,0.0081685
39,940.957,1.08991,1.1599,1.13057,1.08199,0.81979,0.82308,0.91984,0.71816,0.79647,0.78588,0.87905,0.53557,1.1728,1.43533,0.88976,0.83041,0.008119,0.008119,0.008119
40,962.462,1.07046,1.15442,1.12221,1.08403,0.71693,0.87566,0.91474,0.71708,0.66977,0.83774,0.8733,0.55531,0.98455,1.36606,0.88379,0.80609,0.0080695,0.0080695,0.0080695
41,984.044,1.08907,1.1687,1.11604,1.08066,0.76266,0.84588,0.90576,0.70512,0.9138,0.71759,0.87676,0.58229,1.08466,1.3353,0.83331,0.8387,0.00802,0.00802,0.00802
