epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5897,1.57504,2.16369,2.95483,1.34498,0.71199,0.61103,0.64496,0.43303,0.7288,0.62876,0.66967,0.29792,1.73407,2.35086,1.53002,1.11964,0.0701508,0.00331658,0.00331658
2,164.894,1.47114,1.774,1.85381,1.20557,0.71056,0.57143,0.62353,0.44168,0.71056,0.57143,0.6313,0.31215,1.74599,1.69922,1.9645,1.0484,0.0401178,0.006617,0.006617
3,196.764,1.52548,1.64779,1.78876,1.23535,0.55633,0.64991,0.58494,0.32519,0.54821,0.64374,0.58364,0.27171,1.87771,2.48349,2.43939,1.31234,0.0100519,0.00988442,0.00988442
4,228.51,1.58735,1.76044,1.84281,1.29356,0.66367,0.19929,0.2187,0.13124,0.60154,0.16642,0.16968,0.0825,2.02933,3.29095,3.08089,1.42851,0.0098515,0.0098515,0.0098515
5,260.326,1.61684,1.6967,1.81174,1.30154,0.5961,0.56614,0.6256,0.37054,0.55986,0.54409,0.609,0.24745,2.1341,2.53396,2.31287,1.31138,0.009802,0.009802,0.009802
6,292.081,1.56362,1.62135,1.70582,1.2858,0.79732,0.703,0.78644,0.5423,0.7749,0.69796,0.77774,0.43193,1.5299,1.84165,1.50977,1.04787,0.0097525,0.0097525,0.0097525
7,323.875,1.51473,1.60311,1.67238,1.26828,0.73082,0.70877,0.76309,0.53556,0.72124,0.69213,0.76844,0.40546,1.65936,2.30443,1.6592,1.09634,0.009703,0.009703,0.009703
8,355.642,1.42728,1.56186,1.52514,1.22407,0.63495,0.75825,0.7936,0.55283,0.64397,0.77072,0.81379,0.46952,1.38799,1.80592,1.50294,0.98005,0.0096535,0.0096535,0.0096535
9,387.523,1.4158,1.50117,1.53871,1.21926,0.4738,0.85097,0.75173,0.49048,0.47462,0.84744,0.70471,0.42279,1.46385,1.85091,1.41282,1.03187,0.009604,0.009604,0.009604
10,419.368,1.37759,1.40494,1.46555,1.21835,0.68554,0.65578,0.68789,0.46453,0.66959,0.64182,0.67239,0.42909,1.67714,1.80603,1.71609,1.14799,0.0095545,0.0095545,0.0095545
