epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,209.394,1.38085,1.95826,2.63615,1.33479,0.72024,0.79166,0.7772,0.58475,0.71367,0.78661,0.76878,0.45134,1.44854,1.62026,1.27772,1.01283,0.0701007,0.00332215,0.00332215
2,419.867,1.27972,1.54354,1.65287,1.21798,0.58905,0.70969,0.70472,0.4441,0.55392,0.73369,0.74514,0.36839,1.4883,1.61678,1.34952,1.04669,0.0400677,0.00662254,0.00662254
3,629.728,1.41864,1.70228,1.70541,1.28003,0.34472,0.6746,0.55835,0.31834,0.35643,0.64638,0.5476,0.27574,1.54922,1.83384,1.69221,1.14454,0.0100018,0.00988993,0.00988993
4,839.422,1.4606,1.70833,1.7702,1.33649,0.57314,0.62169,0.55102,0.25403,0.56863,0.61552,0.57521,0.16036,2.06749,2.75955,4.21369,1.38016,0.0098515,0.0098515,0.0098515
5,1049.17,1.48713,1.69334,1.70157,1.35092,0.84604,0.72046,0.75769,0.4316,0.81462,0.69577,0.7233,0.29892,2.19379,2.43537,1.98516,1.507,0.009802,0.009802,0.009802
6,1258.94,1.4167,1.68035,1.59837,1.31153,0.73305,0.75051,0.81208,0.5688,0.72006,0.73555,0.7892,0.3796,1.57141,2.06079,1.34342,1.0572,0.0097525,0.0097525,0.0097525
7,1468.75,1.39025,1.57656,1.5444,1.28918,0.56537,0.64903,0.66842,0.46305,0.53803,0.62081,0.65483,0.35956,1.67436,2.01014,1.96445,1.14619,0.009703,0.009703,0.009703
8,1678.49,1.33616,1.49258,1.52313,1.27644,0.73414,0.75856,0.79949,0.49777,0.75859,0.78061,0.83345,0.46842,1.42904,1.65865,1.29628,1.07304,0.0096535,0.0096535,0.0096535
9,1888.2,1.32674,1.50868,1.44189,1.26816,0.46068,0.8506,0.64417,0.39249,0.48719,0.77462,0.65823,0.33823,1.46993,1.68754,1.24298,1.01956,0.009604,0.009604,0.009604
10,2097.85,1.29725,1.44107,1.38094,1.24266,0.87069,0.51826,0.70875,0.5131,0.8408,0.48474,0.69881,0.35418,1.69431,2.66117,5.02651,1.17755,0.0095545,0.0095545,0.0095545
11,2307.57,1.24555,1.37206,1.38234,1.23054,0.70161,0.73806,0.80985,0.58506,0.68233,0.72232,0.77879,0.5058,1.33156,1.55412,1.07749,1.00455,0.009505,0.009505,0.009505
12,2517.63,1.22323,1.33844,1.35031,1.22725,0.83599,0.65336,0.79997,0.52067,0.81499,0.66789,0.82179,0.47623,1.62745,1.60609,1.65975,1.07727,0.0094555,0.0094555,0.0094555
13,2727.33,1.22247,1.35347,1.30027,1.21803,0.83481,0.65105,0.78596,0.5253,0.76908,0.65826,0.76621,0.44969,1.45495,1.64232,1.27332,1.03641,0.009406,0.009406,0.009406
14,2937.02,1.19757,1.31683,1.27439,1.19317,0.8344,0.74376,0.82225,0.58332,0.82157,0.74657,0.81724,0.47592,1.45098,1.57653,1.22768,1.08095,0.0093565,0.0093565,0.0093565
15,3146.71,1.17737,1.32585,1.22577,1.18964,0.86664,0.73808,0.86243,0.50606,0.84448,0.7228,0.85417,0.52687,1.39625,1.46741,1.08889,1.01142,0.009307,0.009307,0.009307
16,3356.4,1.18523,1.34448,1.21895,1.18152,0.8402,0.82796,0.91483,0.66807,0.84186,0.82227,0.90478,0.58851,1.18291,1.33853,1.00903,0.93603,0.0092575,0.0092575,0.0092575
17,3566.45,1.15457,1.33848,1.2139,1.17469,0.75407,0.89065,0.87296,0.59203,0.75139,0.88827,0.86481,0.50879,1.40752,1.52199,1.09311,0.99806,0.009208,0.009208,0.009208
18,3776.19,1.13813,1.27224,1.20095,1.16751,0.76755,0.65852,0.79459,0.62836,0.78366,0.67439,0.81883,0.51928,1.16644,1.41019,1.12469,0.93203,0.0091585,0.0091585,0.0091585
19,3985.96,1.14338,1.25649,1.18189,1.17357,0.86224,0.65668,0.84686,0.54382,0.86224,0.65668,0.83236,0.48627,1.22274,1.47868,1.08709,0.96814,0.009109,0.009109,0.009109
20,4195.7,1.10589,1.22923,1.1543,1.14926,0.77114,0.72924,0.78109,0.49602,0.75764,0.71072,0.77208,0.39449,1.59389,1.92047,1.21889,1.0791,0.0090595,0.0090595,0.0090595
21,4405.4,1.11761,1.2256,1.16211,1.15183,0.86657,0.72751,0.86809,0.61577,0.86657,0.72751,0.8442,0.47564,1.21176,1.61581,1.00139,0.95833,0.00901,0.00901,0.00901
22,4615.11,1.11991,1.22642,1.16203,1.14148,0.76489,0.77122,0.85714,0.59141,0.69728,0.78289,0.78948,0.45732,1.31306,1.5125,1.0398,0.96214,0.0089605,0.0089605,0.0089605
23,4824.89,1.1063,1.21305,1.14512,1.13982,0.74326,0.84539,0.8712,0.56229,0.74326,0.84539,0.86952,0.58763,1.28345,1.35612,0.96009,0.93145,0.008911,0.008911,0.008911
24,5034.61,1.09521,1.22291,1.14205,1.13304,0.69916,0.78924,0.75813,0.53733,0.6931,0.78307,0.76012,0.44264,1.24422,1.66685,1.11179,0.93567,0.0088615,0.0088615,0.0088615
25,5244.33,1.07664,1.22115,1.09267,1.12958,0.67932,0.78964,0.84604,0.60966,0.66018,0.80471,0.80277,0.48199,1.17608,1.5669,1.08545,0.89857,0.008812,0.008812,0.008812
26,5454.07,1.07995,1.2177,1.15902,1.13228,0.8942,0.62785,0.81608,0.55257,0.86859,0.61263,0.79113,0.4865,1.26167,1.47069,1.0075,0.93997,0.0087625,0.0087625,0.0087625
